,AFP,Angiopoietin-2,AXL,CA-125,CA 15-3,CA19-9,CD44,CEA,CYFRA 21-1,DKK1,Endoglin,FGF2,Follistatin,Galectin-3,G-CSF,GDF15,HE4,HGF,IL-6,IL-8,Kallikrein-6,Leptin,Mesothelin,Midkine,Myeloperoxidase,NSE,OPG,OPN,PAR,Prolactin,sEGFR,sFas,SHBG,sHER2/sEGFR2/sErbB2,sPECAM-1,TGFa,Thrombospondin-2,TIMP-1,TIMP-2
AFP,1,0.177270478,0.178140907,0.074159133,0.223795587,0.140388385,0.222338542,0.071513282,0.092175016,-0.060522067,0.058471075,0.023219931,0.140370059,-0.098903596,0.04074112,0.103210684,0.372790293,0.055291144,0.173407329,-0.013643666,0.100586409,0.006236198,0.123236582,0.139015192,-0.140003085,-0.066173927,0.008138257,0.029387169,0.026472348,0.14569343,0.125487363,-0.007890642,-0.015882892,0.211932243,0.142255735,0.156425798,0.105752656,0.002518476,0.089169966
Angiopoietin-2,0.177270478,1,0.25115213,0.107863814,-0.014250702,0.086498982,0.303339705,0.034173491,0.095081203,-0.021368542,0.109623237,-0.211438981,0.150031002,-0.003630526,0.091359113,0.16469361,-0.004065956,0.005208942,0.124460262,-0.038876849,0.071116613,0.038106152,0.214832429,0.088283414,-0.143636253,-0.108424478,0.176350251,0.128053586,0.219625073,-0.079422801,0.379512835,-0.001035808,0.08757171,0.170683262,0.059241848,0.092166042,0.214836082,0.104438434,0.176324262
AXL,0.178140907,0.25115213,1,0.122711568,0.098141041,0.126731999,0.418912656,0.147573769,0.069014609,0.003313958,0.126446574,-0.232150993,0.192325552,0.158830329,-0.003116319,0.265072,0.09124106,-0.017140135,0.158000737,0.038336757,0.028095796,-0.013220861,0.288629896,0.155334887,0.034811387,-0.163673242,0.201487377,0.148171637,0.468324862,-0.063693771,0.320449638,-0.082027742,0.148310496,0.243223662,0.087305304,-0.083963809,0.186786001,0.315950166,0.260562458
CA-125,0.074159133,0.107863814,0.122711568,1,0.452034455,0.607485189,0.070722328,0.460145917,0.609236652,0.165611805,0.01548335,0.208016495,0.02679472,0.17977111,0.052125568,0.304386621,0.083305239,0.163836275,0.012704847,0.324773581,0.05278897,-0.136746981,-0.111297057,0.07696004,0.100087164,0.081811701,0.075342877,0.222151051,0.077201295,0.00475607,0.004181052,0.124349427,0.127548878,0.534817217,-0.054214145,0.043491657,0.366620054,0.264354689,-0.084779517
CA 15-3,0.223795587,-0.014250702,0.098141041,0.452034455,1,0.470036627,0.168740738,0.421706659,0.495555188,-0.018890138,0.102227992,0.038671749,0.04833701,0.077808471,-0.009386361,0.119717801,0.082202324,0.053558775,0.08062219,0.220027948,0.092372713,-0.080093842,0.037889866,-0.018952891,0.060573811,-0.127673845,0.214325923,0.126039147,0.008293136,0.150613108,0.120063468,-0.001557058,0.042239994,0.450909222,0.072734671,0.045259944,0.212087186,0.045454619,-0.065691692
CA19-9,0.140388385,0.086498982,0.126731999,0.607485189,0.470036627,1,0.146086155,0.517136534,0.587549947,0.126864808,0.050161491,0.2031068,-0.052462139,0.154492464,0.116604017,0.229259111,0.123271218,0.237521844,0.088123568,0.33979367,-0.032083518,-0.048325118,-0.139556612,0.058624474,0.214537006,0.066974556,-0.001423886,0.258335791,0.150871759,0.059227706,-0.089289195,0.235350376,0.068874394,0.477878077,0.042740325,0.072122881,0.314048596,0.314105424,-0.095409711
CD44,0.222338542,0.303339705,0.418912656,0.070722328,0.168740738,0.146086155,1,0.183599584,0.039356425,-0.136660283,0.134674084,-0.316872932,0.262912391,-0.083738481,-0.022344445,0.163191501,0.252779735,-0.116225439,0.500419123,-0.008846393,0.415717016,0.076536267,0.482682912,0.127682699,-0.184018998,-0.276269917,0.254000012,0.080970144,0.279810804,0.102092814,0.385201217,-0.264895804,0.15327351,0.354265672,0.13718548,-0.026262937,0.153034932,0.128886012,0.329317213
CEA,0.071513282,0.034173491,0.147573769,0.460145917,0.421706659,0.517136534,0.183599584,1,0.398509493,0.149006564,0.119206684,0.179298801,0.104502359,0.184669788,0.111625677,0.290852908,0.125887275,0.158503579,0.100391077,0.287991706,0.066312201,-0.072021385,-0.00031207,0.033999357,0.093064494,-0.013000051,0.048384972,0.143194693,0.166046569,0.047476233,0.023575616,0.114784341,0.022918261,0.468281564,0.051815398,0.091224735,0.268042113,0.182580881,-0.162968362
CYFRA 21-1,0.092175016,0.095081203,0.069014609,0.609236652,0.495555188,0.587549947,0.039356425,0.398509493,1,0.229019496,0.067177828,0.29208181,0.037126613,0.148924242,0.127173985,0.287337652,0.060872333,0.276337417,0.031245804,0.529166218,-0.029219242,-0.065079218,-0.141047972,0.073879861,0.178628175,0.113659026,0.083963899,0.264788844,0.039274765,0.044421584,-0.059977901,0.104350905,0.093047151,0.517950029,-0.002491036,-0.000247262,0.279620254,0.285136987,-0.064264734
DKK1,-0.060522067,-0.021368542,0.003313958,0.165611805,-0.018890138,0.126864808,-0.136660283,0.149006564,0.229019496,1,-0.048170143,0.303081523,0.154904322,0.338268703,0.355675304,0.283127764,0.025817609,0.388502363,0.002509997,0.201569674,-0.105776595,0.086571035,-0.118497274,0.351578937,0.483323993,0.655411217,-0.058335143,0.111346612,0.071088973,0.026292922,-0.055173607,0.15764896,0.008484861,0.259320809,-0.021121506,0.027927339,0.209482174,0.387342995,-0.116646616
Endoglin,0.058471075,0.109623237,0.126446574,0.01548335,0.102227992,0.050161491,0.134674084,0.119206684,0.067177828,-0.048170143,1,-0.094331487,0.152310667,-0.043730599,0.043666664,0.083681488,0.037830362,-0.058344138,0.167789968,0.059524844,0.03931683,0.021488045,0.07186321,0.029394209,-0.133870752,-0.05552972,0.091972741,0.035491552,0.052702529,0.005381026,0.162128047,-0.077987888,0.048128546,0.07707572,0.05218495,0.030747374,0.122126306,-0.074530298,-0.061708597
FGF2,0.023219931,-0.211438981,-0.232150993,0.208016495,0.038671749,0.2031068,-0.316872932,0.179298801,0.29208181,0.303081523,-0.094331487,1,-0.066386225,0.260009718,0.117685342,-0.119959443,0.129455284,0.316004134,-0.011379665,0.253402346,-0.085606091,0.013127956,-0.337648803,0.061659164,0.28017262,0.405772832,-0.156420888,0.116817976,-0.261305586,0.203335267,-0.36950491,0.256140556,-0.056198146,0.022366859,-0.023932233,0.115902111,0.030370562,-0.095572555,-0.451551442
Follistatin,0.140370059,0.150031002,0.192325552,0.02679472,0.04833701,-0.052462139,0.262912391,0.104502359,0.037126613,0.154904322,0.152310667,-0.066386225,1,0.038349719,0.216980636,0.220216796,-0.071447379,0.073794896,-0.0162528,0.032590847,0.144983559,0.163440242,0.186599641,0.24079023,0.053411457,0.143688618,0.184670185,0.14250979,0.073941931,0.020685112,0.126365165,0.066559385,-0.03362456,0.109434775,0.060201115,0.1345408,-0.011850614,0.120888077,0.131267741
